link_id,source_id,destination_id,distance,width
253,72,198,15.0,80
254,164,199,15.0,80
255,200,234,14.0,80
256,53,242,15.0,80
257,189,201,15.0,80
258,202,351,15.0,80
259,130,134,15.0,80
260,203,222,15.0,80
261,145,204,15.0,80
262,50,205,16.0,80
263,206,257,16.0,80
264,186,207,16.0,80
265,125,137,16.0,80
266,44,268,16.0,80
267,135,208,16.0,80
268,209,252,16.0,80
269,210,288,16.0,80
270,203,211,16.0,80
271,136,169,16.0,80
272,212,260,16.0,80
273,50,213,16.0,80
274,214,231,16.0,80
275,215,296,16.0,80
276,216,243,17.3,80
277,129,158,16.0,80
278,217,336,17.0,80
279,60,187,17.0,80
280,218,359,17.0,80
281,219,361,17.0,80
282,171,220,17.0,80
283,221,349,17.0,80
284,205,333,17.0,80
285,222,281,17.0,80
286,223,388,17.0,80
287,179,224,17.0,80
288,225,295,17.0,80
289,203,309,17.0,80
290,210,226,17.0,80
291,178,227,17.0,80
292,27,228,17.07,80
293,142,229,17.0,80
294,112,230,17.0,80
295,86,231,17.0,80
296,70,230,10.0,80
297,58,232,17.0,80
298,104,206,17.0,80
299,233,329,18.0,80
300,234,396,18.0,80
301,98,235,18.0,80
302,237,323,18.0,80
303,236,238,18.0,80
304,141,239,18.0,80
305,240,300,18.0,80
306,49,241,18.0,80
307,173,242,18.0,80
308,243,264,18.0,80
309,119,240,18.0,80
310,157,244,18.0,80
311,208,245,19.0,80
312,34,132,19.6,80
313,212,397,19.0,80
314,105,246,19.0,80
315,137,247,19.0,80
316,247,248,19.0,80
317,249,371,16.9,80
318,171,250,9.0,80
319,29,113,20.0,80
320,251,398,20.0,80
321,69,252,17.0,80
322,253,256,20.0,80
323,110,254,20.0,80
324,104,255,20.0,80
325,73,147,20.0,80
326,163,176,21.0,80
327,25,256,21.0,80
328,104,257,21.0,80
329,46,258,21.0,80
330,179,259,21.0,80
331,255,260,21.0,80
332,237,289,21.0,80
333,239,261,21.0,80
334,45,262,21.0,80
335,175,262,21.0,80
336,158,263,21.0,80
337,216,264,21.0,80
338,128,157,21.0,80
339,161,324,21.7,80
340,265,314,22.0,80
341,266,284,22.0,80
342,251,369,22.0,80
343,199,267,22.0,80
344,182,275,22.0,80
345,162,268,22.0,80
346,269,399,22.0,80
347,234,280,22.0,80
348,194,270,22.0,80
349,271,276,22.0,80
350,272,366,22.0,80
351,93,273,22.0,80
352,132,150,23.0,80
353,246,379,23.0,80
354,274,297,23.0,80
355,183,297,23.0,80
356,224,275,23.0,80
357,215,276,23.0,80
358,208,249,23.0,80
359,277,320,23.0,80
360,240,250,5.0,80
361,181,278,24.0,80
362,90,369,24.0,80
363,218,279,24.0,80
364,280,318,20.3,80
365,281,310,19.3,80
366,190,218,24.0,80
367,282,315,24.0,80
368,104,283,22.0,80
369,90,149,23.0,80
370,115,284,24.0,80
371,75,290,24.0,80
372,146,285,24.0,80
373,83,286,24.0,80
374,287,358,24.0,80
375,88,155,24.0,80
376,288,332,25.0,80
377,199,207,25.0,80
378,215,314,25.0,80
379,207,397,25.0,80
380,50,271,25.0,80
381,227,289,25.0,80
382,165,290,25.0,80
383,291,321,21.4,80
384,215,360,25.0,80
385,292,293,21.8,80
386,194,340,25.0,80
387,95,313,26.0,80
388,119,171,26.0,80
389,121,293,26.0,80
390,272,294,26.0,80
391,163,295,26.0,80
392,265,296,26.0,80
393,297,367,26.0,80
394,298,324,26.0,80
395,299,344,26.0,80
396,170,263,26.0,80
397,183,224,27.0,80
398,206,300,27.0,80
399,148,301,27.0,80
400,233,295,27.0,80
401,283,302,23.5,80
402,148,208,27.0,80
403,88,157,27.0,80
404,193,195,27.0,80
405,62,279,28.0,80
406,162,303,28.0,80
407,212,283,28.0,80
408,94,304,14.0,80
409,72,400,28.0,80
410,234,401,28.0,80
411,55,109,28.0,80
412,182,306,28.0,80
413,60,307,28.0,80
414,176,308,29.0,80
415,309,375,29.0,80
416,267,310,29.0,80
417,225,311,29.0,80
418,271,312,29.0,80
419,119,250,19.0,80
420,294,313,30.0,80
421,112,172,30.0,80
422,259,341,30.0,80
423,314,360,30.0,80
424,167,315,30.0,80
425,203,316,31.0,80
426,248,253,31.0,80
427,317,319,31.0,80
428,292,346,26.4,80
429,303,318,31.0,80
430,166,319,32.0,80
431,320,328,16.1,80
432,249,262,32.0,80
433,103,286,32.0,80
434,321,402,32.0,80
435,78,322,32.0,80
436,200,323,25.4,80
437,267,278,32.0,80
438,324,403,32.0,80
439,142,175,33.0,80
440,217,322,33.0,80
441,325,365,33.0,80
442,82,289,26.5,80
443,100,326,33.0,80
444,134,300,34.0,80
445,249,327,34.0,80
446,310,316,34.0,80
447,71,123,34.0,80
448,32,385,35.0,80
449,306,367,35.0,80
450,299,351,35.0,80
451,169,328,27.3,80
452,287,311,35.0,80
453,277,292,32.9,80
454,249,362,36.0,80
455,308,329,36.0,80
456,286,330,36.0,80
457,240,266,36.0,80
458,262,331,36.0,80
459,39,302,12.6,80
460,177,351,37.0,80
461,310,332,37.0,80
462,333,370,37.0,80
463,300,334,8.0,80
464,38,251,21.1,80
465,44,335,38.0,80
466,336,395,38.0,80
467,168,337,38.0,80
468,71,338,39.0,80
469,339,368,39.0,80
470,246,340,40.0,80
471,221,225,40.0,80
472,128,341,36.0,80
473,213,404,40.0,80
474,338,342,40.0,80
475,343,370,40.0,80
476,269,344,41.0,80
477,345,399,41.0,80
478,311,329,41.0,80
479,346,403,42.0,80
480,81,347,28.0,80
481,62,348,42.0,80
482,333,349,42.0,80
483,115,224,42.0,80
484,182,300,42.0,80
485,70,126,43.0,80
486,150,392,43.0,80
487,317,350,43.0,80
488,194,351,44.0,80
489,336,352,44.0,80
490,294,353,44.0,80
491,354,381,44.0,80
492,281,355,10.7,80
493,261,337,45.0,80
494,100,356,46.0,80
495,128,150,24.9,80
496,85,370,47.0,80
497,201,357,47.0,80
498,358,366,48.0,80
499,167,184,26.2,80
500,318,359,48.0,80
501,360,404,48.0,80
502,72,197,49.0,80
503,324,375,50.0,80
504,78,342,50.0,80
505,93,372,50.0,80
506,298,325,50.0,80
507,356,361,51.0,80
508,291,292,52.0,80
509,251,362,52.0,80
510,363,374,53.0,80
511,287,380,55.0,80
512,85,364,55.0,80
513,364,365,55.0,80
514,259,366,59.0,80
515,75,367,59.0,80
516,255,278,59.0,80
517,190,348,61.0,80
518,308,319,63.0,80
519,327,398,63.0,80
520,75,368,63.0,80
521,149,369,27.2,80
522,344,354,64.0,80
523,92,252,30.0,80
524,155,282,12.0,80
525,72,202,66.0,80
526,339,370,66.0,80
527,194,217,67.0,80
528,189,371,44.8,80
529,172,390,67.0,80
530,244,266,19.0,80
531,112,393,69.0,80
532,163,221,71.0,80
533,269,381,71.0,80
534,169,248,74.0,80
535,339,365,75.0,80
536,331,357,75.0,80
537,143,272,79.0,80
538,261,373,80.0,80
539,336,374,82.0,80
540,116,151,88.0,80
541,219,318,45.45,80
542,298,375,97.0,80
543,342,354,98.0,80
544,357,378,98.0,80
545,138,289,101.0,80
546,365,376,101.0,80
547,92,335,52.0,80
548,238,377,45.0,80
549,216,301,104.0,80
550,314,373,105.0,80
551,238,243,106.0,80
552,335,372,112.0,80
553,350,353,114.0,80
554,338,373,114.0,80
555,211,277,115.0,80
556,202,345,118.0,80
557,195,378,49.2,80
558,322,342,123.0,80
559,321,346,64.6,80
560,379,395,127.0,80
561,345,357,128.0,80
562,195,372,50.0,80
563,44,318,62.0,80
564,36,63,8.0,80
565,20,54,5.0,80
566,236,305,18.0,80
567,38,305,28.0,80
568,368,380,176.0,80
569,317,381,276.0,80
570,348,381,324.0,80
571,327,362,44.0,80
572,180,353,84.0,80
573,230,405,60.0,80
574,76,405,12.3,80
